127.0.0.1 - - [12/Apr/2026:10:58:24 +0530] "GET / HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:58:25 +0530] "GET / HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:58:25 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:58:26 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:58:41 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:58:41 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:58:45 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:58:45 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:14 +0530] "GET /login HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:14 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:14 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:29 +0530] "POST /doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:29 +0530] "GET /teacher/dashboard HTTP/1.1" 200 4142
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:29 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:29 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:34 +0530] "GET /teacher/addPerformance HTTP/1.1" 200 4888
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:34 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:34 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [12/Apr/2026:10:59:41 +0530] "GET /teacher/viewPerformance HTTP/1.1" 200 6468
