127.0.0.1 - - [26/Mar/2026:15:06:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:06:31 +0530] "GET /StudentPerfomancePredictionSystem/ HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:06:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:06:35 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:06:52 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:06:52 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:01 +0530] "POST /StudentPerfomancePredictionSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:01 +0530] "GET /StudentPerfomancePredictionSystem/admin/dashboard HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:03 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:03 +0530] "GET /StudentPerfomancePredictionSystem/admin/dashboard HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:04 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:12 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:17 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:20 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:22 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:25 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:27 +0530] "GET /StudentPerfomancePredictionSystem/teacher/predict HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:32 +0530] "GET /StudentPerfomancePredictionSystem/teacher/enquiry HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:44 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:07:47 +0530] "GET /StudentPerfomancePredictionSystem/teacher/predict HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:11:47 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:11:53 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:12:05 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:12:07 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:12:18 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:12:22 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:12:25 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:17:13 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:17:18 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:17:24 +0530] "POST /StudentPerfomancePredictionSystem/teacher/savePerformance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:17:27 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 500 14509
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:17:53 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:17:57 +0530] "POST /StudentPerfomancePredictionSystem/teacher/savePerformance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:17:58 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 7156
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:20:03 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 7522
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:20:10 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:20:23 +0530] "POST /StudentPerfomancePredictionSystem/teacher/savePerformance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:20:23 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 10129
0:0:0:0:0:0:0:1 - - [26/Mar/2026:15:20:32 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
