127.0.0.1 - - [23/Mar/2026:15:31:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:15 +0530] "GET /StudentPerfomancePredictionSystem/ HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:19 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:39 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:39 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:47 +0530] "POST /StudentPerfomancePredictionSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:47 +0530] "GET /StudentPerfomancePredictionSystem/admin/dashboard HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:50 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:50 +0530] "GET /StudentPerfomancePredictionSystem/admin/dashboard HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:31:51 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:00 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:05 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:07 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:09 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:14 +0530] "GET /StudentPerfomancePredictionSystem/teacher/predict HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:17 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:23 +0530] "GET /StudentPerfomancePredictionSystem/teacher/enquiry HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:30 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:32 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:35 +0530] "GET /StudentPerfomancePredictionSystem/teacher/predict HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:39 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:45 +0530] "POST /StudentPerfomancePredictionSystem/teacher/savePerformance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:45 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:32:55 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:33:00 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:33:05 +0530] "POST /StudentPerfomancePredictionSystem/teacher/savePerformance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:15:33:05 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:00 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:00 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:00 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:00 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:02 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:02 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:04 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:05 +0530] "GET /StudentPerfomancePredictionSystem/ HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:09 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:23 +0530] "GET /StudentPerfomancePredictionSystem/User HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:23 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:31 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:49 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:19:49 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:20:04 +0530] "POST /StudentPerfomancePredictionSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:20:04 +0530] "GET /StudentPerfomancePredictionSystem/admin/dashboard HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:20:06 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:20:06 +0530] "GET /StudentPerfomancePredictionSystem/admin/dashboard HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:20:07 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:20:15 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:20:23 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [23/Mar/2026:16:20:27 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
